City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,longyearbyen,78.2186,15.6401,-0.09,74,40,5.14,SJ,1702843662
133,punta arenas,-53.15,-70.9167,14.06,38,0,7.2,CL,1702843622
134,san antonio de pale,-1.4014,5.6325,27.24,80,100,3.1,GQ,1702843662
135,chipata,-13.6333,32.65,23.64,52,92,2.91,ZM,1702843663
136,rocky mountain house,52.3668,-114.9188,-1.48,80,76,5.17,CA,1702843663
137,tsiombe,-25.3,45.4833,23.74,84,100,2.99,MG,1702843664
138,antonio enes,-16.2325,39.9086,27.85,81,14,4.68,MZ,1702843664
139,codrington,-38.2667,141.9667,15.93,61,100,3.29,AU,1702843664
140,port lincoln,-34.7333,135.8667,19.64,75,100,1.02,AU,1702843665
141,anloga,5.7947,0.8973,27.65,74,7,4.44,GH,1702843486
142,porto novo,6.4965,2.6036,26.83,74,5,2.63,BJ,1702843665
143,mount gambier,-37.8333,140.7667,17.55,52,100,0.78,AU,1702843666
144,okha,53.5739,142.9478,-4.68,85,100,8.02,RU,1702843375
145,novobureyskiy,49.798,129.8774,-35.0,100,64,1.28,RU,1702843666
146,port elizabeth,-33.918,25.5701,19.5,85,54,6.37,ZA,1702843667
147,champerico,14.3,-91.9167,33.3,66,3,3.47,GT,1702843667
148,lebu,-37.6167,-73.65,13.74,61,4,7.4,CL,1702843668
149,indramayu,-6.3264,108.32,27.54,75,36,0.97,ID,1702843668
150,xianyang,34.3378,108.7026,-3.48,64,99,1.75,CN,1702843668
151,la'ie,21.6477,-157.9253,26.14,66,82,7.49,US,1702843669
152,akureyri,65.6835,-18.0878,-3.57,89,79,3.26,IS,1702843669
153,itoman,26.1247,127.6694,17.01,72,51,6.17,JP,1702843669
154,qaqortoq,60.7167,-46.0333,-9.64,92,100,3.16,GL,1702843670
155,porto de moz,-1.7483,-52.2383,30.98,58,97,1.16,BR,1702843670
156,taoudenni,22.6783,-3.9836,15.62,24,96,7.67,ML,1702843671
157,kindu,-2.95,25.95,21.92,99,100,1.06,CD,1702843671
158,veraval,20.9,70.3667,22.13,41,47,6.68,IN,1702843671
159,trujillo,-8.116,-79.03,21.98,83,20,5.66,PE,1702843047
160,kingston,17.997,-76.7936,26.25,91,79,1.79,JM,1702843672
161,aasiaat,68.7098,-52.8699,-19.23,84,100,4.16,GL,1702843672
162,beau vallon,-20.4189,57.6953,26.79,94,75,4.12,MU,1702843673
163,port augusta,-32.5,137.7667,26.79,17,100,2.05,AU,1702843673
164,oranjemund,-28.55,16.4333,15.93,90,0,4.79,NA,1702843673
165,kerikeri,-35.2268,173.9474,19.95,88,7,1.75,NZ,1702843674
166,atafu village,-8.5421,-172.5159,28.99,71,17,2.21,TK,1702843674
167,fort mcmurray,56.7268,-111.381,-3.36,61,6,2.66,CA,1702843434
168,carolina beach,34.0352,-77.8936,20.61,88,100,16.27,US,1702843676
169,mejit,10.2753,170.8646,26.99,80,100,11.24,MH,1702843677
170,prince rupert,54.3161,-130.3201,3.6,82,100,1.39,CA,1702843678
171,stanley,54.868,-1.6985,10.44,87,100,8.15,GB,1702843678
172,nadym,65.5333,72.5167,-13.75,77,98,11.95,RU,1702843467
173,caleta de carquin,-11.0925,-77.6267,23.81,76,91,5.37,PE,1702843679
174,pangoa,-12.1167,-73.0,23.55,97,99,0.92,PE,1702843679
175,ratnagiri,16.9833,73.3,27.53,61,100,2.54,IN,1702843429
176,kapuskasing,49.4169,-82.4331,2.41,97,100,3.34,CA,1702843680
177,iskateley,67.6803,53.1512,-14.43,89,93,8.94,RU,1702843680
178,amungan,15.3652,119.9582,26.57,67,100,2.03,PH,1702843680
179,geraldton,-28.7667,114.6,20.23,83,40,3.6,AU,1702843681
180,coquimbo,-29.9533,-71.3436,19.51,63,0,5.31,CL,1702843510
181,sierra grande,-41.606,-65.3557,15.66,43,3,16.46,AR,1702843683
182,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,91,75,12.96,RU,1702843500
183,vishnyeva,54.7122,26.5225,4.02,98,100,5.58,BY,1702843683
184,vila velha,-20.3297,-40.2925,28.97,70,20,5.14,BR,1702843684
185,stjordalshalsen,63.4681,10.9262,2.18,93,75,2.57,NO,1702843685
186,dompu,-8.5356,118.4622,24.3,85,100,1.44,ID,1702843686
187,khash,28.2211,61.2158,7.09,36,0,1.5,IR,1702843687
188,acapulco de juarez,16.8634,-99.8901,29.9,70,0,5.14,MX,1702843445
189,vorkuta,67.5,64.0,-17.78,87,99,6.3,RU,1702843688
190,bilina,50.5485,13.7754,4.64,76,93,1.56,CZ,1702843688
191,torghay,49.6339,63.4981,-5.05,64,100,3.46,KZ,1702843689
192,nazarovo,56.0064,90.3914,-31.87,100,92,0.89,RU,1702843689
193,rudnya,54.947,31.0934,1.15,100,100,4.97,RU,1702843689
194,susuman,62.7833,148.1667,-29.45,100,97,1.34,RU,1702843690
195,guerrero negro,27.9769,-114.0611,23.95,25,75,1.38,MX,1702843690
196,kristiansund,63.1115,7.732,4.36,93,75,1.54,NO,1702843690
197,toliara,-23.35,43.6667,25.85,79,100,4.13,MG,1702843691
198,ribas do rio pardo,-20.4431,-53.7592,41.13,12,76,3.22,BR,1702843691
199,daru,-9.0763,143.2092,25.7,92,99,3.46,PG,1702843691
200,leh,34.1667,77.5833,-11.58,64,54,2.11,IN,1702843692
